TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL
7212049,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Lash of the Balrog,,92,C,Lightly Played Foil,0.04,0,0,0,1,1,0.04,,,
7448042,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Lost Isle Calling (Showcase Scrolls),,512,R,Lightly Played Foil,0.25,0,0,0,1,1,0.25,,,
7539663,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mirkwood Spider (Showcase Scrolls),,629,C,Lightly Played Foil,0.25,0,0,0,1,1,0.25,,,
7447022,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Nimrodel Watcher (Showcase Scrolls),,514,C,Lightly Played Foil,0.16,0,0,0,3,3,0.16,,,
7446862,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Now for Wrath, Now for Ruin! (Showcase Scrolls)",,475,C,Lightly Played Foil,0.21,0,0,0,1,1,0.21,,,
7216944,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Pelargir Survivor,,64,C,Lightly Played Foil,0.03,0,0,0,1,1,0.03,,,
7539253,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Pippin, Guard of the Citadel (Showcase Scrolls)",,669,R,Lightly Played Foil,0.5,0,0,0,2,2,0.5,,,
7169556,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Prince Imrahil the Fair,,219,U,Lightly Played Foil,0.13,0,0,0,1,1,0.13,,,
7447572,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Rise of the Witch-king (Showcase Scrolls),,672,U,Lightly Played Foil,0.37,0,0,0,1,1,0.37,,,
7028848,Magic,Unique and Miscellaneous Promos,Samwise the Stouthearted (Borderless) (LTR Bundle),,449,U,Lightly Played Foil,0.11,0,0,0,2,2,0.11,,,
7448212,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Sharkey, Tyrant of the Shire (Showcase Scrolls)",,680,R,Lightly Played Foil,0.38,0,0,0,1,1,0.38,,,
7448262,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Shire Scarecrow (Showcase Scrolls),,700,C,Lightly Played Foil,0.24,0,0,0,1,1,0.24,,,
7447092,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Shire Shirriff (Showcase Scrolls),,481,U,Lightly Played Foil,0.12,0,0,0,2,2,0.12,,,
7539453,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Shortcut to Mushrooms (Showcase Scrolls),,638,U,Lightly Played Foil,0.16,0,0,0,1,1,0.16,,,
7542983,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Soothing of Smeagol (Showcase Scrolls),,521,C,Lightly Played Foil,0.31,0,0,0,1,1,0.31,,,
7170756,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Stew the Coneys,,189,U,Lightly Played Foil,0.12,0,0,0,1,1,0.12,,,
7191125,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Eomer of the Riddermark,,121,U,Lightly Played Foil,0.08,0,0,0,1,1,0.08,,,
7542808,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Eomer of the Riddermark (Showcase Scrolls),,572,U,Lightly Played Foil,0.12,0,0,0,1,1,0.12,,,
7175726,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Eowyn, Fearless Knight (Borderless)",,430,R,Lightly Played Foil,0.71,0,0,0,3,3,0.71,,,
,,,,,,,,,,,,,,,,,
